,0,1,Tags
0,labels,categories,Challenge1000
1,template,temp,Challenge1000
2,team,empl_h_struc,Challenge1000
3,team,empl_f_struc,Challenge1000
4,url_descriptions_formal,prez_doc_struc,Challenge1000
5,url_descriptions_formal,logo_struc,Challenge1000
6,url_descriptions_formal,video_struc,Challenge1000
7,descriptions_raw,nom_struc,Challenge1000
8,descriptions_raw,prez_struc,Challenge1000
9,descriptions_raw,prez_produit_struc,Challenge1000
10,descriptions_raw,prez_marche_struc,Challenge1000
11,descriptions_raw,prez_zone_struc,Challenge1000
12,descriptions_raw,prez_objectif_struc,Challenge1000
13,descriptions_raw,prez_innovante_struc,Challenge1000
14,descriptions_raw,prez_duplicable_struc,Challenge1000
15,descriptions_raw,prez_durable_struc,Challenge1000
16,descriptions_traduction,nom_struc,Challenge1000
17,descriptions_traduction,prez_struc,Challenge1000
18,descriptions_traduction,prez_produit_struc,Challenge1000
19,descriptions_traduction,prez_marche_struc,Challenge1000
20,descriptions_traduction,prez_zone_struc,Challenge1000
21,descriptions_traduction,prez_objectif_struc,Challenge1000
22,descriptions_traduction,prez_innovante_struc,Challenge1000
23,descriptions_traduction,prez_duplicable_struc,Challenge1000
24,descriptions_traduction,prez_durable_struc,Challenge1000
25,descriptions_traduction,categorie,Challenge1000
26,finance,ca_2017,Challenge1000
27,finance,ca_2017_devise,Challenge1000
28,finance,ca_2018,Challenge1000
29,finance,ca_2018_devise,Challenge1000
30,finance,ca_2019_devise,Challenge1000
31,finance,ca_2019_trim1,Challenge1000
32,finance,ca_2019_trim2,Challenge1000
33,finance,ca_2019_trim3,Challenge1000
34,structure,nom_struc,Challenge1000
35,structure,date_struc,Challenge1000
36,structure,type_struc,Challenge1000
37,structure,num_struc,Challenge1000
38,structure,pays_struc1,Challenge1000
39,structure,certif_struc,Challenge1000
40,structure,adresse_struc,Challenge1000
41,structure,ville_struc,Challenge1000
42,structure,region_struc,Challenge1000
43,structure,pays_struc2,Challenge1000
44,structure,cat_sub1_struc,Challenge1000
45,structure,cat_sub2_struc,Challenge1000
46,structure,cat_sub3_struc,Challenge1000
47,structure,cat_struc,Challenge1000
48,structure,cat_autre_struc,Challenge1000
49,structure,site_struc,Challenge1000
50,structure,linkedin_struc,Challenge1000
51,structure,facebook_struc,Challenge1000
52,structure,twitter_struc,Challenge1000
53,structure,instagram_struc,Challenge1000
54,structure,incubateur_struc,Challenge1000
55,structure,partenaire_struc,Challenge1000
56,structure,prix_struc,Challenge1000
57,structure,investisseur_struc,Challenge1000
58,people,nom_prenom_diff2,Challenge1000
59,people,nation_diff1,Challenge1000
60,people,fonda_diff,Challenge1000
61,people,nation_diff3,Challenge1000
62,people,civil_diff3,Challenge1000
63,people,nom_prenom_diff1,Challenge1000
64,people,nation_diff2,Challenge1000
65,people,civil_diff1,Challenge1000
66,people,nom_prenom_diff3,Challenge1000
67,people,civil_diff2,Challenge1000
68,people,civil_pers,Challenge1000
69,people,nom_pers,Challenge1000
70,people,prenom_pers,Challenge1000
71,people,nation_pers,Challenge1000
72,people,age_pers,Challenge1000
73,people,parcours_pers,Challenge1000
74,people,email_pers,Challenge1000
75,people,mobile_pers,Challenge1000
76,people,fixe_pers,Challenge1000
77,people,linkedin_pers,Challenge1000
78,people,twitter_pers,Challenge1000
79,people,fonction_pers,Challenge1000
80,people,id_pers,Challenge1000
81,people,lang_pers,Challenge1000
82,digital_ponctual,reco_digitafr,Challenge1000
83,digital_ponctual,cgu_digitafr,Challenge1000
84,digital_ponctual,nwsl_digitafr,Challenge1000
85,digital_ponctual,compte_label_digitafr,Challenge1000
86,digital_ponctual,compte_digitafr,Challenge1000
87,digital_ponctual,mdp_digitafr,Challenge1000
88,digital_ponctual,iduser_digitafr,Challenge1000
89,digital_ponctual,time_digitafr,Challenge1000
90,digital_ponctual,last_update_digitafr,Challenge1000
91,digital_ponctual,created_by_digitafr,Challenge1000
92,digital_ponctual,updated_by_digitafr,Challenge1000
93,digital_ponctual,draft_digitafr,Challenge1000
94,digital_ponctual,ip_digitafr,Challenge1000
95,digital_ponctual,id_digitafr,Challenge1000
96,digital_ponctual,key_digitafr,Challenge1000
